"PlotID";"Species";"Model";"Source";"P1";"P2";"R";"Syx";"n";"info";"BR";"Brondata";"Verklaring"
"<ALL>";7;"h=1,3+P1+P2*ln(d)";"global";1,0686273;7,547146;0,698;2,83;419;NA;"Kluisbos";"2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";14;"h=1,3+P1+P2*ln(d)";"global";-13,78082;11,407518;0,817;3,129;52;NA;"Kluisbos";"2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";16;"h=1,3+P1+P2*ln(d)";"global";-11,803286;10,25038;0,939;2,929;36;NA;"Kluisbos";"2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";24;"h=1,3+P1+P2*ln(d)";"global";-25,077584;14,023972;0,913;2,566;4;NA;"Kluisbos";"2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";51;"h=1,3+P1+P2*ln(d)";"global";9,3933728;6,1419489;0,44;2,225;46;NA;"Kluisbos";"2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";64;"h=1,3+P1+P2*ln(d)";"all_species";-13,818255;10,529559;0,898;3,622;39;NA;"Kluisbos";"2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";NA;"h=1,3+P1+P2*ln(d)";"all_species";-11,155913;10,419277;0,872;3,3;708;NA;"Kluisbos";"2eSET";"globale hoogtecurve van geclusterde soorten"
NA;23;"h=1,3+P1+P2*ln(d)";"all_species";-11,155913;10,419277;0,872;3,3;0;"geen metingen";"Kluisbos";"2eSET";"globale hoogtecurve van geclusterde soorten"
NA;28;"h=1,3+P1+P2*ln(d)";"all_species";-11,155913;10,419277;0,872;3,3;0;"geen metingen";"Kluisbos";"2eSET";"globale hoogtecurve van geclusterde soorten"
NA;31;"h=1,3+P1+P2*ln(d)";"all_species";-11,155913;10,419277;0,872;3,3;0;"geen metingen";"Kluisbos";"2eSET";"globale hoogtecurve van geclusterde soorten"
NA;53;"h=1,3+P1+P2*ln(d)";"all_species";-11,155913;10,419277;0,872;3,3;0;"geen metingen";"Kluisbos";"2eSET";"globale hoogtecurve van geclusterde soorten"
NA;54;"h=1,3+P1+P2*ln(d)";"all_species";-11,155913;10,419277;0,872;3,3;0;"geen metingen";"Kluisbos";"2eSET";"globale hoogtecurve van geclusterde soorten"
NA;58;"h=1,3+P1+P2*ln(d)";"all_species";-11,155913;10,419277;0,872;3,3;0;"geen metingen";"Kluisbos";"2eSET";"globale hoogtecurve van geclusterde soorten"
NA;69;"h=1,3+P1+P2*ln(d)";"all_species";-11,155913;10,419277;0,872;3,3;0;"geen metingen";"Kluisbos";"2eSET";"globale hoogtecurve van geclusterde soorten"
NA;89;"h=1,3+P1+P2*ln(d)";"all_species";-11,155913;10,419277;0,872;3,3;0;"geen metingen";"Kluisbos";"2eSET";"globale hoogtecurve van geclusterde soorten"
"1699";3;"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-14,521504;10,419277;NA;NA;2;NA;"Kluisbos";"2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"1699";4;"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-13,06918;10,419277;NA;NA;1;NA;"Kluisbos";"2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
NA;6;"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-10,796561;10,406384;NA;NA;10;"berk samen, adjusted";"Kluisbos";"2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"1697";9;"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-13,661792;10,406384;NA;NA;6;"boskers, adjusted";"Kluisbos";"2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"1699";11;"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-17,193124;10,419277;NA;NA;1;NA;"Kluisbos";"2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"1699";17;"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-8,6720376;10,406384;NA;NA;4;"lork samen; adjusted";"Kluisbos";"2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"<ALL>";27;"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-15,273007;10,406384;NA;NA;6;NA;"Kluisbos";"2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"1699";39;"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-16,190932;10,419277;NA;NA;1;NA;"Kluisbos";"2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"1699";40;"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-8,6720376;10,406384;NA;NA;4;"lork samen; adjusted";"Kluisbos";"2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"1699";41;"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-15,421914;10,367825;NA;NA;4;"meidoorn: outlier verwijderd, mogelijks een snag";"Kluisbos";"2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"<ALL>";57;"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-10,796561;10,406384;NA;NA;10;"berk samen, adjusted";"Kluisbos";"2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"1699";77;"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-7,9102426;10,419277;NA;NA;1;NA;"Kluisbos";"2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"1699";86;"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-10,796561;10,406384;NA;NA;10;"berk samen, adjusted";"Kluisbos";"2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"<ALL>";87;"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-13,150197;10,406384;NA;NA;73;"geforceerd adjusted zomereik";"Kluisbos";"2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
